Date,Open,High,Low,Close,Volume,Adj Close
2015-12-17,12.60,13.75,12.51,13.75,104042000,13.68514
2015-12-16,12.47,12.63,12.30,12.50,25686300,12.44104
2015-12-15,12.40,12.62,12.30,12.37,25843000,12.31165
2015-12-14,11.99,12.40,11.91,12.39,19086300,12.33156
2015-12-11,12.04,12.20,11.97,12.08,15133100,12.02302
2015-12-10,12.01,12.29,11.96,12.05,20191200,11.99316
2015-12-09,12.20,12.29,12.03,12.10,26785200,12.04292
2015-12-08,12.36,12.85,12.00,12.44,39440000,12.38132
2015-12-07,12.34,12.55,12.25,12.46,19523700,12.40123
2015-12-04,12.50,12.64,12.19,12.29,26369900,12.23203
2015-12-03,12.27,12.60,12.20,12.57,27843600,12.51071
2015-12-02,12.33,12.45,11.62,12.16,23238700,12.10264
2015-12-01,12.10,12.50,12.04,12.33,26632400,12.27184
2015-11-30,12.40,12.64,11.38,12.24,38585200,12.18226
2015-11-27,13.54,13.56,12.27,12.40,57050300,12.34151
2015-11-26,14.16,14.22,13.57,13.63,58590500,13.56571
2015-11-25,13.80,14.25,13.72,14.15,42225100,14.08325
